GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-academico,cl.duoc.colegio,WebConfig,0,22,0,0,0,3,0,2,0,2
ms-academico,cl.duoc.colegio,EstudianteController,0,19,0,0,0,4,0,3,0,3
ms-academico,cl.duoc.colegio,Estudiante,4,29,0,0,1,10,1,7,1,7
ms-academico,cl.duoc.colegio,MsAcademicoApplication,5,3,0,0,2,1,1,1,1,1
