GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-asistencia,cl.duoc.colegio,MsAsistenciaApplication,5,3,0,0,2,1,1,1,1,1
ms-asistencia,cl.duoc.colegio,WebConfig,0,22,0,0,0,3,0,2,0,2
ms-asistencia,cl.duoc.colegio,Asistencia,4,36,0,0,1,12,1,9,1,9
ms-asistencia,cl.duoc.colegio,AsistenciaController,0,84,0,4,0,21,0,9,0,7
